subject_id,modality,channel,n_nan,nan_pct,finite_min,finite_max,finite_std
200,ear_full_sens,Fpz,0,0.0,-192.32148751443492,218.28908744887303,38.60572116340488
200,ear_full_sens,M1,0,0.0,-50.737219871900834,42.043151893851245,8.570489817700334
200,ear_full_sens,M2,0,0.0,-43.677847889724035,53.20102386568033,7.909778410949497
200,ear_full_sens,EL1,0,0.0,-98.34319175170731,152.6112636146936,16.097731839203703
200,ear_full_sens,EL3,0,0.0,-152.57841561477653,284.489119281734,21.51861384343339
200,ear_full_sens,EL4,0,0.0,-60.13352384817745,35.36830391070362,6.591991324424639
200,ear_full_sens,EL5,0,0.0,-71.42042381968076,79.49065579930539,8.61668971656225
200,ear_full_sens,ER1,0,0.0,-84.11575978762812,141.19719964351134,10.652125682084222
200,ear_full_sens,ER2,0,0.0,-35.27856791093018,41.132687896149946,7.037016429062008
200,ear_full_sens,ER3,0,0.0,-83.04719979032598,130.22064767122447,13.371254443986368
200,ear_full_sens,ER4,0,0.0,-167.48526357714036,91.9642477678126,15.967160481430314
200,ear_strict_sens,M1,0,0.0,-50.737219871900834,42.043151893851245,8.570489817700334
200,ear_strict_sens,M2,0,0.0,-43.677847889724035,53.20102386568033,7.909778410949497
200,ear_strict_sens,EL1,0,0.0,-98.34319175170731,152.6112636146936,16.097731839203703
200,ear_strict_sens,EL3,0,0.0,-152.57841561477653,284.489119281734,21.51861384343339
200,ear_strict_sens,EL4,0,0.0,-60.13352384817745,35.36830391070362,6.591991324424639
200,ear_strict_sens,EL5,0,0.0,-71.42042381968076,79.49065579930539,8.61668971656225
200,ear_strict_sens,ER1,0,0.0,-84.11575978762812,141.19719964351134,10.652125682084222
200,ear_strict_sens,ER2,0,0.0,-35.27856791093018,41.132687896149946,7.037016429062008
200,ear_strict_sens,ER3,0,0.0,-83.04719979032598,130.22064767122447,13.371254443986368
200,ear_strict_sens,ER4,0,0.0,-167.48526357714036,91.9642477678126,15.967160481430314
200,scalp_sens,O1,0,0.0,-59.08038385083637,72.95549581580508,11.146930747504902
200,scalp_sens,Pz,0,0.0,-46.801751881836935,42.16259189354969,8.138966710945645
200,scalp_sens,P3,0,0.0,-45.17307188594896,44.24422388829407,8.407195303907573
200,scalp_sens,P7,0,0.0,-62.422623842398025,61.23596784539404,10.849257055668021
200,scalp_sens,CP1,0,0.0,-41.11789989618728,28.853963927150744,6.572481556980084
200,scalp_sens,CP5,0,0.0,-41.8602998943129,34.78925991216556,7.30760962279848
200,scalp_sens,TP7,0,0.0,-51.94991986883906,43.07648389124233,9.242902423010682
200,scalp_sens,Cz,0,0.0,-33.9000119144107,24.756465937495932,5.473620107825434
200,scalp_sens,C3,0,0.0,-31.801327919709365,27.304157931063628,5.338956963030198
200,scalp_sens,T7,0,0.0,-54.64487986203494,48.570579877371074,9.642053462032477
200,scalp_sens,FC1,0,0.0,-23.95247193952582,18.954267952145074,4.338394263228241
200,scalp_sens,FC5,0,0.0,-34.742671912283186,27.109091931556122,4.8930414270894325
200,scalp_sens,F3,0,0.0,-72.22303981765435,43.58883188994878,8.80016518180728
200,scalp_sens,F7,0,0.0,-83.29942378968917,56.32201585780058,9.29148079407804
200,scalp_sens,Fp1,0,0.0,-186.16255952998472,191.66276751609803,34.723228725557036
200,scalp_sens,O2,0,0.0,-57.33571985524122,64.83643583630374,10.91216342449666
200,scalp_sens,P4,0,0.0,-45.030943886307796,49.71757987447518,8.309704609521603
200,scalp_sens,P8,0,0.0,-70.28895182253746,65.96775583344743,10.334998527286862
200,scalp_sens,CP2,0,0.0,-41.954711894074535,35.951627909230865,6.2666087498062115
200,scalp_sens,CP6,0,0.0,-37.3763439056338,50.178603873311204,6.811622430429399
200,scalp_sens,TP8,0,0.0,-49.3908078753002,54.43559186256334,9.103396639759017
200,scalp_sens,C4,0,0.0,-27.71469993002711,36.242831908495646,4.765310051108443
200,scalp_sens,T8,0,0.0,-57.0248478560261,70.24985582263616,11.237081866657222
200,scalp_sens,Fc2,0,0.0,-20.409259948471572,16.389425958620677,4.3715335133191875
200,scalp_sens,FC6,0,0.0,-36.47259590791555,42.35997189305135,5.347002626987987
200,scalp_sens,Fz,0,0.0,-48.98831987631638,36.645959907477845,7.15170306905161
200,scalp_sens,F4,0,0.0,-42.46052389279748,46.668883882172395,8.16418110102055
200,scalp_sens,F8,0,0.0,-50.24188787315143,65.44446383476861,10.37001804164704
200,scalp_sens,Fp2,0,0.0,-153.62492761213434,205.8712314802251,35.83011491447133
200,scalp_sens,Fpz,0,0.0,-156.22553560556844,182.39441553949837,32.613201089828834
201,ear_full_sens,Fpz,0,0.0,-382.15014303516364,423.97091092957635,32.60574307587919
201,ear_full_sens,M1,0,0.0,-386.98700702295173,365.3235510776467,26.421381843804273
201,ear_full_sens,M2,0,0.0,-330.590591165339,361.5429430871918,25.958184539140223
201,ear_full_sens,EL1,0,0.0,-357.5457270972838,401.9407349851972,26.87981174719827
201,ear_full_sens,EL3,0,0.0,-790.9555820030291,696.9165422404549,59.736303327125185
201,ear_full_sens,EL4,0,0.0,-384.2750710297987,552.9183986040152,30.072743418085782
201,ear_full_sens,EL5,0,0.0,-340.9550711391712,601.5135984813242,37.513880025870805
201,ear_full_sens,ER1,0,0.0,-292.06095926261696,388.1312950200627,25.288509068914614
201,ear_full_sens,ER2,0,0.0,-385.9193910256472,356.49555109993526,26.586259996391643
201,ear_full_sens,ER4,0,0.0,-332.38796716080105,467.65091081929495,25.301057087029083
201,ear_strict_sens,M1,0,0.0,-386.98700702295173,365.3235510776467,26.421381843804273
201,ear_strict_sens,M2,0,0.0,-330.590591165339,361.5429430871918,25.958184539140223
201,ear_strict_sens,EL1,0,0.0,-357.5457270972838,401.9407349851972,26.87981174719827
201,ear_strict_sens,EL3,0,0.0,-790.9555820030291,696.9165422404549,59.736303327125185
201,ear_strict_sens,EL4,0,0.0,-384.2750710297987,552.9183986040152,30.072743418085782
201,ear_strict_sens,EL5,0,0.0,-340.9550711391712,601.5135984813242,37.513880025870805
201,ear_strict_sens,ER1,0,0.0,-292.06095926261696,388.1312950200627,25.288509068914614
201,ear_strict_sens,ER2,0,0.0,-385.9193910256472,356.49555109993526,26.586259996391643
201,ear_strict_sens,ER4,0,0.0,-332.38796716080105,467.65091081929495,25.301057087029083
201,scalp_sens,O1,0,0.0,-43.3447998905649,47.65537187968175,8.641919859703533
201,scalp_sens,Pz,0,0.0,-126.2464316812584,67.77798382887704,8.123826488519324
201,scalp_sens,P3,0,0.0,-44.913467886604394,40.5378758976517,5.616077326027931
201,scalp_sens,P7,0,0.0,-57.18442385562321,51.68063986951893,7.388715595547628
201,scalp_sens,CP1,0,0.0,-32.365021918286175,46.977447881393346,4.990468934068463
201,scalp_sens,Cz,0,0.0,-39.176519901088795,24.747133937519493,4.663433389089454
201,scalp_sens,C3,0,0.0,-50.599435872248705,55.29165586040199,5.328590824417434
201,scalp_sens,FC1,0,0.0,-41.20673989596298,58.52874785222912,5.429208558919571
201,scalp_sens,FC5,0,0.0,-130.49154367054052,45.01333588635225,6.6129693336191115
201,scalp_sens,F3,0,0.0,-109.32391172398366,118.3069357013037,14.516279208127042
201,scalp_sens,F7,0,0.0,-211.09532746703553,77.03919180549474,11.879466552695275
201,scalp_sens,Fp1,0,0.0,-124.72688768509488,178.10742355032198,17.959527473706768
201,scalp_sens,O2,0,0.0,-44.77152388696277,52.80290786668547,8.646008989112676
201,scalp_sens,P4,0,0.0,-54.63187586206777,42.72607189212704,6.326955087818755
201,scalp_sens,P8,0,0.0,-52.85986386654167,43.89733588916988,7.73630700522439
201,scalp_sens,CP2,0,0.0,-57.18768785561497,29.93520592442087,4.70328479638542
201,scalp_sens,CP6,0,0.0,-78.23571180247382,96.09356775738706,6.643507032913192
201,scalp_sens,TP8,0,0.0,-87.03502378025769,36.36664390818305,6.753956878395568
201,scalp_sens,C4,0,0.0,-93.05411176506095,47.26878788065778,4.315716775258557
201,scalp_sens,T8,0,0.0,-155.59308760716522,81.76628779355997,7.900529899306486
201,scalp_sens,Fc2,0,0.0,-42.6901638922177,28.54068792794169,3.9575043703319523
201,scalp_sens,FC6,0,0.0,-168.3671515749138,52.65849186705009,7.176117579866158
201,scalp_sens,Fz,0,0.0,-45.36655988546045,38.369543903126214,5.645622134845882
201,scalp_sens,F4,0,0.0,-89.13603977495313,46.40245988284505,8.156947630123183
201,scalp_sens,F8,0,0.0,-74.63395981156737,111.02818371968078,10.452585762069019
201,scalp_sens,Fp2,0,0.0,-123.10364768919317,286.7080312761318,20.920173854233504
201,scalp_sens,Fpz,0,0.0,-100.85379974536863,176.1909115551607,15.81596274121372
202,ear_full_sens,Fpz,0,0.0,-326.4540791757827,384.70694302870834,53.996128009155285
202,ear_full_sens,M1,0,0.0,-327.7299511725614,267.2349113252967,26.180075100714
202,ear_full_sens,M2,0,0.0,-310.2058872168054,277.53478329929203,25.88409513742964
202,ear_full_sens,EL1,0,0.0,-250.05174336868004,308.55295922097866,23.893781704001253
202,ear_full_sens,EL3,0,0.0,-343.1523511336236,299.66633524341523,24.437964860029236
202,ear_full_sens,EL5,0,0.0,-303.5072632337178,257.18435135067193,24.772969002412385
202,ear_full_sens,ER1,0,0.0,-217.76926345018546,476.9320947958622,34.019244065819834
202,ear_full_sens,ER2,0,0.0,-315.1327352043663,270.9586873158951,26.228476049943502
202,ear_full_sens,ER3,0,0.0,-307.2523832242623,321.00124718954976,27.545409669979797
202,ear_full_sens,ER4,0,0.0,-305.94902322755297,241.4174233904796,22.790520049174255
202,ear_strict_sens,M1,0,0.0,-327.7299511725614,267.2349113252967,26.180075100714
202,ear_strict_sens,M2,0,0.0,-310.2058872168054,277.53478329929203,25.88409513742964
202,ear_strict_sens,EL1,0,0.0,-250.05174336868004,308.55295922097866,23.893781704001253
202,ear_strict_sens,EL3,0,0.0,-343.1523511336236,299.66633524341523,24.437964860029236
202,ear_strict_sens,EL5,0,0.0,-303.5072632337178,257.18435135067193,24.772969002412385
202,ear_strict_sens,ER1,0,0.0,-217.76926345018546,476.9320947958622,34.019244065819834
202,ear_strict_sens,ER2,0,0.0,-315.1327352043663,270.9586873158951,26.228476049943502
202,ear_strict_sens,ER3,0,0.0,-307.2523832242623,321.00124718954976,27.545409669979797
202,ear_strict_sens,ER4,0,0.0,-305.94902322755297,241.4174233904796,22.790520049174255
202,scalp_sens,O1,0,0.0,-70.32961582243479,62.843471841335486,14.09389477988477
202,scalp_sens,Pz,0,0.0,-51.14304387087623,49.91985987396447,10.083056695708775
202,scalp_sens,P3,0,0.0,-284.59910328145634,337.3766711482058,67.21473928487916
202,scalp_sens,P7,0,0.0,-73.30803981491499,59.28642385031617,12.820281499014914
202,scalp_sens,CP1,0,0.0,-49.497551875030695,40.000675899008,8.391403072266964
202,scalp_sens,CP5,0,0.0,-116.45045570599086,56.92381585628118,10.253499053062134
202,scalp_sens,TP7,0,0.0,-122.38102369101762,59.538259849680344,10.463352278830858
202,scalp_sens,Cz,0,0.0,-41.27781989578352,32.56112591779106,7.560924004754305
202,scalp_sens,C3,0,0.0,-49.0344558761999,49.34373187541905,6.729828433327359
202,scalp_sens,T7,0,0.0,-177.38686355214122,121.44303169338582,10.528505778247874
202,scalp_sens,FC1,0,0.0,-49.01265587625494,47.82985587924122,6.748949960939925
202,scalp_sens,F3,0,0.0,-81.99198379299014,88.71159177602476,12.20775225193756
202,scalp_sens,F7,0,0.0,-101.57675174354335,114.02780771210746,14.567280890344254
202,scalp_sens,Fp1,0,0.0,-196.43427150405114,212.87068746255318,42.12991853000394
202,scalp_sens,O2,0,0.0,-60.90081184624023,69.36717582486472,13.970636557641983
202,scalp_sens,P4,0,0.0,-51.28539187051683,51.81105186918967,10.522554860109869
202,scalp_sens,P8,0,0.0,-67.00974383081666,66.17485983292454,13.924237553444796
202,scalp_sens,CP2,0,0.0,-43.9503238890361,39.587323900051615,8.21917248902304
202,scalp_sens,CP6,0,0.0,-54.70395986188578,44.93517988654958,10.062765523292935
202,scalp_sens,TP8,0,0.0,-54.312739862873514,44.98027988643571,10.083873270027539
202,scalp_sens,C4,0,0.0,-41.892119894232565,34.02514391409477,7.1953400306895
202,scalp_sens,T8,0,0.0,-57.14403585572518,46.577939882402006,10.161866282668836
202,scalp_sens,Fc2,0,0.0,-36.94665590671866,33.221567916123604,7.219421989234307
202,scalp_sens,FC6,0,0.0,-93.15550376480496,38.638955902446014,6.987387235703623
202,scalp_sens,Fz,0,0.0,-43.408839890403215,43.89602388917319,9.466207613245524
202,scalp_sens,F4,0,0.0,-48.02552387874721,45.99119988388338,9.641715131848219
202,scalp_sens,F8,0,0.0,-105.65778373323974,86.68506378114125,10.827805597319779
202,scalp_sens,Fp2,0,0.0,-199.93713549520726,209.90003147005336,41.783888961837754
202,scalp_sens,Fpz,0,0.0,-192.5002075139837,206.41055947886343,40.99310686682688
203,ear_full_sens,Fpz,0,0.0,-115.96395970721915,114.41192771113765,16.448669376177758
203,ear_full_sens,M1,0,0.0,-80.27707979731986,105.27807173419842,8.161681441776036
203,ear_full_sens,M2,0,0.0,-58.48504785233945,87.29509577960107,6.292285646445693
203,ear_full_sens,EL1,0,0.0,-202.9969754874819,134.2039836611675,12.71809950227548
203,ear_full_sens,EL3,0,0.0,-65.48134783467549,65.87969983366975,6.6519368520198086
203,ear_full_sens,EL4,0,0.0,-480.89135878586603,407.19868697192214,28.805946063374073
203,ear_full_sens,EL5,0,0.0,-75.33006380980987,64.26400783774898,6.211119051353812
203,ear_full_sens,ER1,0,0.0,-53.02269186613057,89.70991177350425,8.736128587958465
203,ear_full_sens,ER2,0,0.0,-60.28291984780026,73.2479118150668,7.439254649195636
203,ear_full_sens,ER3,0,0.0,-63.852859838787026,93.73452776334307,7.144680834164419
203,ear_full_sens,ER4,0,0.0,-50.57417187231249,89.92817577295318,6.598369847318295
203,ear_strict_sens,M1,0,0.0,-80.27707979731986,105.27807173419842,8.161681441776036
203,ear_strict_sens,M2,0,0.0,-58.48504785233945,87.29509577960107,6.292285646445693
203,ear_strict_sens,EL1,0,0.0,-202.9969754874819,134.2039836611675,12.71809950227548
203,ear_strict_sens,EL3,0,0.0,-65.48134783467549,65.87969983366975,6.6519368520198086
203,ear_strict_sens,EL4,0,0.0,-480.89135878586603,407.19868697192214,28.805946063374073
203,ear_strict_sens,EL5,0,0.0,-75.33006380980987,64.26400783774898,6.211119051353812
203,ear_strict_sens,ER1,0,0.0,-53.02269186613057,89.70991177350425,8.736128587958465
203,ear_strict_sens,ER2,0,0.0,-60.28291984780026,73.2479118150668,7.439254649195636
203,ear_strict_sens,ER3,0,0.0,-63.852859838787026,93.73452776334307,7.144680834164419
203,ear_strict_sens,ER4,0,0.0,-50.57417187231249,89.92817577295318,6.598369847318295
203,scalp_sens,O1,0,0.0,-54.03771986356787,60.81403984645931,12.430188862926041
203,scalp_sens,Pz,0,0.0,-45.57273188493991,48.319283878005535,8.066264499276489
203,scalp_sens,P3,0,0.0,-50.935099871401235,50.115111873471506,8.946092623148678
203,scalp_sens,P7,0,0.0,-77.25664780494571,69.82274382371452,11.588972784441
203,scalp_sens,CP1,0,0.0,-41.092287896251946,40.01169589898018,6.646148170852791
203,scalp_sens,CP5,0,0.0,-43.29024789070263,43.53613989008181,7.186415643513444
203,scalp_sens,TP7,0,0.0,-69.88625582355417,58.12868385323918,9.933748479724816
203,scalp_sens,Cz,0,0.0,-40.96980389656119,53.71183586439065,7.3805309739980824
203,scalp_sens,C3,0,0.0,-35.04012391153219,38.840103901938164,6.073717431490353
203,scalp_sens,T7,0,0.0,-97.27025575441621,109.92554372246468,10.935913343871107
203,scalp_sens,FC5,0,0.0,-51.63314786963883,36.13237590877452,6.577182457382771
203,scalp_sens,F3,0,0.0,-56.04051985851129,40.70766789722302,8.110133639421528
203,scalp_sens,F7,0,0.0,-73.88081581346887,60.27555184781886,8.580716425895421
203,scalp_sens,Fp1,0,0.0,-90.95704777035553,114.19944771167411,15.031716850383036
203,scalp_sens,O2,0,0.0,-54.063827863501956,72.42575181714255,11.431934345395582
203,scalp_sens,P4,0,0.0,-44.14417188854668,54.334551862818444,8.362312247785345
203,scalp_sens,P8,0,0.0,-46.8920718816089,59.47307184984493,10.075134163434484
203,scalp_sens,CP2,0,0.0,-149.1069276235412,208.09551947460932,24.039330577028746
203,scalp_sens,CP6,0,0.0,-35.1873039111606,33.604051915157925,6.330266834989226
203,scalp_sens,TP8,0,0.0,-52.2736198680218,46.64089588224306,8.483521468878038
203,scalp_sens,C4,0,0.0,-50.64818787212562,32.332119918369244,5.5949824606059755
203,scalp_sens,T8,0,0.0,-139.26119964839927,214.69745545794103,13.825334367753763
203,scalp_sens,Fc2,0,0.0,-36.75630790719924,38.06231590390189,7.021549745248332
203,scalp_sens,FC6,0,0.0,-41.6670558948008,35.66420790995653,7.315532673636554
203,scalp_sens,Fz,0,0.0,-56.176735858167376,42.06726789379036,8.451705038707786
203,scalp_sens,F4,0,0.0,-59.81538784898066,65.36924383495852,12.971176745986403
203,scalp_sens,F8,0,0.0,-42.402283892944524,56.12733185829211,8.131791397139818
203,scalp_sens,Fp2,0,0.0,-82.8516077908198,126.12167168157339,15.490295382559085
203,scalp_sens,Fpz,0,0.0,-74.74503181128694,92.68856776598386,13.658952120099201
205,ear_full_sens,Fpz,0,0.0,-88.58006377635684,129.51291167301133,15.904242623213891
205,ear_full_sens,M1,0,0.0,-75.00470381063133,54.16584386324439,8.181540760976906
205,ear_full_sens,M2,0,0.0,-76.23731180751929,49.593223874789146,8.944970943395248
205,ear_full_sens,EL1,0,0.0,-176.21211155510719,529.7781106624388,15.450535126218329
205,ear_full_sens,EL3,0,0.0,-76.63023180652726,43.341723890572666,7.100635295304288
205,ear_full_sens,EL4,0,0.0,-89.49148777405571,46.424463882789496,7.302530802139351
205,ear_full_sens,EL5,0,0.0,-73.85872781352464,60.226455847942816,7.330742939191196
205,ear_full_sens,ER1,0,0.0,-174.91267155838796,222.986975437012,12.558389643101235
205,ear_full_sens,ER2,0,0.0,-243.2290073859058,363.62745508192893,20.642848569735865
205,ear_full_sens,ER3,0,0.0,-79.25802379989273,64.77456383645995,7.520194951978014
205,ear_full_sens,ER4,0,0.0,-65.55042783450108,54.927083861322444,8.13967913854355
205,ear_strict_sens,M1,0,0.0,-75.00470381063133,54.16584386324439,8.181540760976906
205,ear_strict_sens,M2,0,0.0,-76.23731180751929,49.593223874789146,8.944970943395248
205,ear_strict_sens,EL1,0,0.0,-176.21211155510719,529.7781106624388,15.450535126218329
205,ear_strict_sens,EL3,0,0.0,-76.63023180652726,43.341723890572666,7.100635295304288
205,ear_strict_sens,EL4,0,0.0,-89.49148777405571,46.424463882789496,7.302530802139351
205,ear_strict_sens,EL5,0,0.0,-73.85872781352464,60.226455847942816,7.330742939191196
205,ear_strict_sens,ER1,0,0.0,-174.91267155838796,222.986975437012,12.558389643101235
205,ear_strict_sens,ER2,0,0.0,-243.2290073859058,363.62745508192893,20.642848569735865
205,ear_strict_sens,ER3,0,0.0,-79.25802379989273,64.77456383645995,7.520194951978014
205,ear_strict_sens,ER4,0,0.0,-65.55042783450108,54.927083861322444,8.13967913854355
205,scalp_sens,O1,0,0.0,-206.76595147796615,631.2647664062097,46.998510456967516
205,scalp_sens,Pz,0,0.0,-202.12743948967727,623.8935024248203,46.351291676317054
205,scalp_sens,P3,0,0.0,-203.39121548648654,618.4221424386342,46.59050417675775
205,scalp_sens,P7,0,0.0,-199.09543949733234,619.3085424363962,46.576726401399654
205,scalp_sens,CP1,0,0.0,-199.38796749659377,611.3251824565523,45.87674205050696
205,scalp_sens,CP5,0,0.0,-200.1854554945803,621.3039984313582,46.60573177277543
205,scalp_sens,TP7,0,0.0,-200.10227149479033,620.195070434158,46.54036404425469
205,scalp_sens,Cz,0,0.0,-192.03843151514957,611.388286456393,45.800158865167965
205,scalp_sens,C3,0,0.0,-195.46887950648852,613.6417264507036,45.9690555971531
205,scalp_sens,T7,0,0.0,-227.5590554254686,613.6743024506213,46.53335300914536
205,scalp_sens,FC1,0,0.0,-194.69009550845476,606.4363504688954,45.99758080782745
205,scalp_sens,FC5,0,0.0,-211.23140746669196,608.5953264634445,46.42284196290081
205,scalp_sens,F3,0,0.0,-199.30947149679196,602.6568304784378,46.39523273776733
205,scalp_sens,F7,0,0.0,-211.5520154658825,586.29791851974,48.727101664388165
205,scalp_sens,Fp1,0,0.0,-612.267966454172,741.8042221271244,60.65561269593036
205,scalp_sens,O2,0,0.0,-195.17167950723888,630.2017264088936,47.05112001852765
205,scalp_sens,P4,0,0.0,-202.1748794895575,623.4711664258866,46.365913646181696
205,scalp_sens,P8,0,0.0,-191.97737551530372,628.0837744142409,47.101361176285295
205,scalp_sens,CP6,0,0.0,-191.8452475156373,627.7127024151778,47.045845640502385
205,scalp_sens,TP8,0,0.0,-191.8380475156555,627.6551024153232,47.0489267390261
205,scalp_sens,C4,0,0.0,-201.98443149003833,616.6812784430294,45.84313459704719
205,scalp_sens,T8,0,0.0,-195.37678350672104,636.1551343938627,46.92032774264517
205,scalp_sens,FC6,0,0.0,-218.00759944958372,622.5230704282803,46.30213107176604
205,scalp_sens,Fz,0,0.0,-203.424703486402,604.9285104727023,46.123634193794366
205,scalp_sens,F4,0,0.0,-204.6276634833648,606.5822064685271,45.94949539946924
205,scalp_sens,F8,0,0.0,-270.1506873179351,713.6513261982036,53.05422878067158
205,scalp_sens,Fp2,0,0.0,-201.64483149089574,602.4970224788412,46.99463444694184
205,scalp_sens,Fpz,0,0.0,-195.50079950640793,592.4585585041859,47.23344120437846
206,ear_full_sens,Fpz,0,0.0,-136.22807965605716,178.6646235489152,29.084568809717208
206,ear_full_sens,M1,0,0.0,-44.533323887564165,85.27223978470829,8.015999333390132
206,ear_full_sens,M2,0,0.0,-71.98993581824288,67.15662383044582,7.336913318541196
206,ear_full_sens,EL1,0,0.0,-130.30073567102227,143.49227163771684,13.471908722744173
206,ear_full_sens,EL3,0,0.0,-69.71797582397903,74.09775181292116,10.462452270946416
206,ear_full_sens,EL4,0,0.0,-51.33479987039209,57.92566785375175,6.954301045775466
206,ear_full_sens,EL5,0,0.0,-139.69284764730946,144.10044763618134,12.16705898808863
206,ear_full_sens,ER1,0,0.0,-202.98833548750372,263.2043513354729,21.755272656192496
206,ear_full_sens,ER2,0,0.0,-46.74173988198845,46.15457188347091,7.46526171284569
206,ear_full_sens,ER3,0,0.0,-106.62587973079553,84.70584778613829,11.892236396753038
206,ear_full_sens,ER4,0,0.0,-87.14165577998847,61.62595984440941,7.77662319879931
206,ear_strict_sens,M1,0,0.0,-44.533323887564165,85.27223978470829,8.015999333390132
206,ear_strict_sens,M2,0,0.0,-71.98993581824288,67.15662383044582,7.336913318541196
206,ear_strict_sens,EL1,0,0.0,-130.30073567102227,143.49227163771684,13.471908722744173
206,ear_strict_sens,EL3,0,0.0,-69.71797582397903,74.09775181292116,10.462452270946416
206,ear_strict_sens,EL4,0,0.0,-51.33479987039209,57.92566785375175,6.954301045775466
206,ear_strict_sens,EL5,0,0.0,-139.69284764730946,144.10044763618134,12.16705898808863
206,ear_strict_sens,ER1,0,0.0,-202.98833548750372,263.2043513354729,21.755272656192496
206,ear_strict_sens,ER2,0,0.0,-46.74173988198845,46.15457188347091,7.46526171284569
206,ear_strict_sens,ER3,0,0.0,-106.62587973079553,84.70584778613829,11.892236396753038
206,ear_strict_sens,ER4,0,0.0,-87.14165577998847,61.62595984440941,7.77662319879931
206,scalp_sens,O1,0,0.0,-69.88179982356542,76.98630380562827,15.507311529546637
