subject_id,modality,roi,requested_channels,used_channels,dropped_all_nan_channels,n_used_channels
200,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
200,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
200,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
201,scalp_main,face_roi,P7;P8;TP8;O1;O2,P7;P8;TP8;O1;O2,,5
201,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
201,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
202,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
202,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
202,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
203,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
203,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
203,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
205,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
205,scalp_main,late_roi,Pz;CP1;Cz,Pz;CP1;Cz,,3
205,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
206,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
206,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
206,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
208,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
208,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
208,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
211,scalp_main,face_roi,P7;P8;TP7;O1;O2,P7;P8;TP7;O1;O2,,5
211,scalp_main,late_roi,Pz;CP1;CP2;Cz,Pz;CP1;CP2;Cz,,4
211,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
213,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
213,scalp_main,late_roi,Pz;Cz,Pz;Cz,,2
213,scalp_main,central_roi,Fz;Cz;Pz,Fz;Cz;Pz,,3
214,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
214,scalp_main,late_roi,Pz;CP1;CP2,Pz;CP1;CP2,,3
214,scalp_main,central_roi,Fz;Pz,Fz;Pz,,2
215,scalp_main,face_roi,P7;P8;TP7;TP8;O1;O2,P7;P8;TP7;TP8;O1;O2,,6
215,scalp_main,late_roi,Pz;CP1;CP2,Pz;CP1;CP2,,3
215,scalp_main,central_roi,Fz;Pz,Fz;Pz,,2
200,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
200,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
200,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
200,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
201,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
201,ear_full_main,ear_right,ER1;ER2;ER4,ER1;ER2;ER4,,3
201,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
201,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,,10
202,ear_full_main,ear_left,EL1;EL3;EL5,EL1;EL3;EL5,,3
202,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
202,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
202,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,,10
203,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
203,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
203,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
203,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
205,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
205,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
205,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
205,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
206,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
206,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
206,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
206,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
208,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
208,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
208,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
208,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
209,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
209,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
209,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
209,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
211,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
211,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
211,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
211,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
212,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
212,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
212,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
212,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
214,ear_full_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
214,ear_full_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
214,ear_full_main,ear_mastoid,M1;M2,M1;M2,,2
214,ear_full_main,ear_full,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,Fpz;M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,11
200,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
200,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
200,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
200,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
201,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
201,ear_strict_main,ear_right,ER1;ER2;ER4,ER1;ER2;ER4,,3
201,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
201,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER4,,9
202,ear_strict_main,ear_left,EL1;EL3;EL5,EL1;EL3;EL5,,3
202,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
202,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
202,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL5;ER1;ER2;ER3;ER4,,9
203,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
203,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
203,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
203,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
205,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
205,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
205,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
205,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
206,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
206,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
206,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
206,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
208,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
208,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
208,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
208,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
209,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
209,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
209,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
209,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
211,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
211,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
211,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
211,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
212,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
212,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
212,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
212,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
214,ear_strict_main,ear_left,EL1;EL3;EL4;EL5,EL1;EL3;EL4;EL5,,4
214,ear_strict_main,ear_right,ER1;ER2;ER3;ER4,ER1;ER2;ER3;ER4,,4
214,ear_strict_main,ear_mastoid,M1;M2,M1;M2,,2
214,ear_strict_main,ear_strict,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,M1;M2;EL1;EL3;EL4;EL5;ER1;ER2;ER3;ER4,,10
