subject_id,modality,roi,desired_channels,available_channels,missing_channels,n_available,n_missing
200,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
200,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
200,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
200,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
200,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
200,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
200,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
200,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
200,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
200,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
200,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
200,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
200,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
201,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4",ER3,10,1
201,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
201,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
201,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER4",ER3,3,1
201,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4",ER3,9,1
201,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4","Fpz,ER3",9,2
201,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
201,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
201,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER4",ER3,3,1
201,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER4",ER3,9,1
201,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
201,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP8,O1,O2",TP7,5,1
201,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
202,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4",EL4,10,1
202,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL5",EL4,3,1
202,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
202,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
202,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4",EL4,9,1
202,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4","Fpz,EL4",9,2
202,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL5",EL4,3,1
202,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
202,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
202,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL5,ER1,ER2,ER3,ER4",EL4,9,1
202,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
202,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
202,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
203,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
203,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
203,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
203,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
203,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
203,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
203,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
203,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
203,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
203,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
203,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
203,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
203,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
205,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
205,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
205,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
205,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
205,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
205,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
205,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
205,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
205,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
205,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
205,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
205,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
205,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,Cz",CP2,3,1
206,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
206,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
206,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
206,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
206,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
206,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
206,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
206,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
206,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
206,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
206,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
206,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
206,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
208,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
208,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
208,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
208,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
208,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
208,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
208,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
208,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
208,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
208,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
208,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
208,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
208,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
209,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
209,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
209,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
209,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
209,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
209,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
209,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
209,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
209,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
209,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
211,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
211,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
211,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
211,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
211,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
211,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
211,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
211,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
211,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
211,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
211,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
211,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,O1,O2",TP8,5,1
211,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2,Cz",,4,0
212,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
212,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
212,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
212,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
212,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
212,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
212,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
212,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
212,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
212,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
213,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Cz,Pz",,3,0
213,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
213,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,Cz","CP1,CP2",2,2
214,ear_full_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,11,0
214,ear_full_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
214,ear_full_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
214,ear_full_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
214,ear_full_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
214,ear_strict_sens,ear_full,"Fpz,M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",Fpz,10,1
214,ear_strict_sens,ear_left,"EL1,EL3,EL4,EL5","EL1,EL3,EL4,EL5",,4,0
214,ear_strict_sens,ear_mastoid,"M1,M2","M1,M2",,2,0
214,ear_strict_sens,ear_right,"ER1,ER2,ER3,ER4","ER1,ER2,ER3,ER4",,4,0
214,ear_strict_sens,ear_strict,"M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4","M1,M2,EL1,EL3,EL4,EL5,ER1,ER2,ER3,ER4",,10,0
214,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Pz",Cz,2,1
214,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
214,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2",Cz,3,1
215,scalp_sens,central_roi,"Fz,Cz,Pz","Fz,Pz",Cz,2,1
215,scalp_sens,face_roi,"P7,P8,TP7,TP8,O1,O2","P7,P8,TP7,TP8,O1,O2",,6,0
215,scalp_sens,late_roi,"Pz,CP1,CP2,Cz","Pz,CP1,CP2",Cz,3,1
